OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_746	k__Bacteria	p__others	c__Elusimicrobia	o__FAC88	f__	g__	s__	1	3
OTU_213	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1	3
OTU_212	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__	s__	1	3
OTU_2409	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_509	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_508	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_505	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__BD7-3	f__	g__	s__	1	1
OTU_507	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	1	3
OTU_506	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	1	3
OTU_501	k__Bacteria	p__others	c__Chloroplast	o__Chlorophyta	f__Trebouxiophyceae	1	2		
OTU_500	k__Bacteria	p__others	c__TK10	o__	f__	g__	s__	1	3
OTU_502	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__	0.67	3
OTU_3502	k__Bacteria	p__others	c__PRR-12	o__Sediment-1	f__	g__	s__	1	3
OTU_32	k__Bacteria	p__others	c__TM7-3	o__I025	f__	g__	s__	1	3
OTU_33	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__A21b	f__EB1003	g__	s__	0.67	3
OTU_30	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_31	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__FFCH4570	g__	s__	0.67	3
OTU_36	k__Bacteria	p__others	c__Chloroflexi	o__Herpetosiphonales	f__	g__	s__	1	1
OTU_37	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__	1	3
OTU_34	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	1	3
OTU_35	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	1	3
OTU_38	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__	s__	1	3
OTU_39	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_3047	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	1	2				
OTU_1547	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	1	3
OTU_619	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Kribbella	s__	0.67	3
OTU_618	k__Bacteria	p__Acidobacteria	c__Sva0725	o__Sva0725	f__	g__	s__	1	3
OTU_1574	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_625	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_611	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_613	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_615	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_614	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__	1	3
OTU_195	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__	1	3
OTU_192	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_193	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	0.67	3
OTU_299	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	0.67	3		
OTU_298	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__	s__	0.67	3
OTU_295	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	1	3
OTU_294	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__Nevskia	s__ramosa	0.67	3
OTU_297	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__	1	3
OTU_296	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_291	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	1	3
OTU_290	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__Ellin515	g__	s__	1	3
OTU_293	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	0.67	3
OTU_292	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__	s__	1	3
OTU_475	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__	1	3
OTU_476	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__	g__	s__	0.67	3
OTU_473	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_479	Unassigned	p__others	1	1	1	1	1	1	1
OTU_478	k__Bacteria	p__Acidobacteria	c__Acidobacteria-5	o__	f__	g__	s__	1	3
OTU_277	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_276	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__	0.67	3
OTU_275	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_274	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	1	3
OTU_273	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	0.67	3	
OTU_272	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__	0.67	3
OTU_271	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__	1	3
OTU_270	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_1867	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__	s__	0.67	3
OTU_279	k__Bacteria	p__others	c__Fibrobacteria	o__258ds10	f__	g__	s__	1	3
OTU_278	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_1194	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__	0.67	3
OTU_872	k__Bacteria	p__Acidobacteria	c__Sva0725	o__Sva0725	f__	g__	s__	1	3
OTU_876	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__	1	3
OTU_1754	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_1753	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	1	3
OTU_1217	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_1214	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_1219	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_1218	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__	1	3
OTU_2369	Unassigned	p__others	1	1	1	1	1	1	1
OTU_1983	k__Bacteria	p__others	c__S085	o__	f__	g__	s__	1	1
OTU_3098	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	0.67	3
OTU_2186	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_2189	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__palustris	1	3
OTU_2435	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Waddliaceae	0.67	3		
OTU_518	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	1	3
OTU_512	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_510	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_516	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_514	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	1	3
OTU_515	k__Bacteria	p__Gemmatimonadetes	c__Gemm-5	o__	f__	g__	s__	1	3
OTU_21	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_20	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__	1	3
OTU_23	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__	s__	1	3
OTU_22	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	1	3
OTU_25	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera	s__	1	3
OTU_24	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__	1	3
OTU_27	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Sporichthyaceae	g__	s__	1	3
OTU_26	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Kaistobacter	s__	1	3
OTU_29	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	0.67	3	
OTU_28	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_2508	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	1	3			
OTU_3054	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_2053	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Sediminibacterium	s__	1	3
OTU_606	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_607	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	0.67	3
OTU_605	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	0.67	3		
OTU_601	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	1	3
OTU_1561	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__	s__	1	3
OTU_1560	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	1	3
OTU_609	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__	s__	1	3
OTU_288	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__	0.67	3
OTU_289	k__Bacteria	p__others	c__OPB56	o__	f__	g__	s__	1	3
OTU_282	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__	1	3
OTU_283	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	0.67	3		
OTU_280	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__	1	3
OTU_281	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Bryobacteraceae	g__	s__	1	3
OTU_286	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	0.67	3
OTU_287	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__	s__	1	3
OTU_284	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_285	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_462	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__	1	3
OTU_460	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Segetibacter	s__	0.67	3
OTU_461	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__	0.67	3
OTU_466	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Ellin6067	f__	g__	s__	1	3
OTU_464	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_465	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	1	3		
OTU_468	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__	g__	s__	1	3
OTU_469	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__	1	3
OTU_264	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	0.67	3
OTU_265	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__	1	3
OTU_266	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	1	3		
OTU_267	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1	3
OTU_260	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_261	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__alpinitundrae	0.67	3
OTU_262	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_263	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_268	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__	1	3
OTU_269	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	0.67	3
OTU_1188	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	g__	s__	0.67	3
OTU_868	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	1	3
OTU_863	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	1	3
OTU_861	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_655	k__Bacteria	p__others	c__TK10	o__AKYG885	f__Dolo_23	g__	s__	1	3
OTU_657	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_124	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Adhaeribacter	s__	1	3
OTU_123	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__	0.67	3
OTU_650	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	0.67	3
OTU_2890	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Segetibacter	s__	1	3
OTU_3508	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	1	3
OTU_1608	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__	g__	s__	1	2
OTU_1222	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	2
OTU_1221	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_1228	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	0.67	3
OTU_2731	k__Bacteria	p__others	c__SJA-4	o__	f__	g__	s__	1	3
OTU_2332	k__Bacteria	p__others	c__TK10	o__	f__	g__	s__	1	3
OTU_2199	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1	3
OTU_2429	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_2428	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_152	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Myxococcaceae	g__Anaeromyxobacter	s__	1	3
OTU_153	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	0.67	3
OTU_150	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	1	3
OTU_151	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	1	3
OTU_18	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__adhaesivum	1	3
OTU_19	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	0.67	3		
OTU_14	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	1	3
OTU_15	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_16	k__Bacteria	p__others	c__ABS-6	o__	f__	g__	s__	1	3
OTU_17	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	1	3			
OTU_10	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__	g__	s__	0.67	3
OTU_11	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__	s__	1	3
OTU_12	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__	0.67	3
OTU_13	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	1	3			
OTU_154	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_155	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__	1	3
OTU_673	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_332	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_671	k__Bacteria	p__others	c__Chloroflexi	o__Chloroflexales	f__Chloroflexaceae	g__Chloronema	s__	0.67	3
OTU_676	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Skermanella	s__	0.67	3
OTU_333	k__Bacteria	p__others	c__ABS-6	o__	f__	g__	s__	1	3
OTU_330	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	1	3
OTU_337	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__OM27	g__	s__	1	3
OTU_887	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	0.67	3
OTU_3245	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__	1	3
OTU_3439	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Emticicia	s__	1	3
OTU_499	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_497	k__Bacteria	p__Acidobacteria	c__TM1	o__	f__	g__	s__	1	3
OTU_496	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_494	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__	1	3
OTU_492	k__Bacteria	p__others	c__SHA-26	o__	f__	g__	s__	1	1
OTU_491	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__	g__	s__	1	1
OTU_251	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Myxococcaceae	g__	s__	1	3
OTU_250	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_253	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__Methylotenera	s__mobilis	1	3
OTU_252	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	1	3		
OTU_255	k__Bacteria	p__others	c__S085	o__	f__	g__	s__	1	3
OTU_254	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_708	k__Bacteria	p__others	c__SJA-4	o__	f__	g__	s__	1	3
OTU_259	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__	1	3
OTU_258	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_702	k__Bacteria	p__Acidobacteria	c__TM1	o__	f__	g__	s__	1	3
OTU_701	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	2
OTU_700	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__	s__	1	3
OTU_383	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1	3
OTU_382	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_381	Unassigned	p__others	1	1	1	1	1	1	1
OTU_387	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	0.67	3		
OTU_386	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__	g__	s__	0.67	3
OTU_384	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__	s__	1	3
OTU_389	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	0.67	3		
OTU_388	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_723	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_819	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Nannocystaceae	g__Nannocystis	s__	1	3
OTU_812	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__	0.67	3
OTU_811	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_810	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__	1	3
OTU_815	k__Bacteria	p__others	c__TK10	o__AKYG885	0.67	3			
OTU_726	Unassigned	p__others	1	1	1	1	1	1	1
OTU_926	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__chondroitinus	0.67	3
OTU_1644	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	1	3
OTU_928	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__N1423WL	f__	g__	s__	0.67	3
OTU_1345	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Ellin5301	g__	s__	1	3
OTU_1346	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	0.67	3
OTU_3112	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Rhabdochlamydiaceae	g__Candidatus Rhabdochlamydia	s__	1	3
OTU_1239	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__EB1017	g__	s__	1	3
OTU_1233	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	1	3
OTU_3546	Unassigned	p__others	1	1	1	1	1	1	1
OTU_3736	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_831	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_832	k__Bacteria	p__others	c__SHA-26	o__	f__	g__	s__	1	1
OTU_624	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	0.67	3		
OTU_660	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_664	Unassigned	p__others	1	1	1	1	1	1	1
OTU_666	k__Bacteria	p__others	c__TM7-3	o__I025	f__	g__	s__	1	3
