OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_373	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_370	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__MND1	f__	g__	s__	1	3
OTU_371	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__	g__	s__	1	3
OTU_687	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_684	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__	0.67	3
OTU_685	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_682	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_680	k__Bacteria	p__others	c__TK10	o__	f__	g__	s__	0.67	3
OTU_681	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__	1	3
OTU_2924	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	2
OTU_979	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_1612	Unassigned	p__others	1	1	1	1	1	1	1
OTU_1611	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Kaistobacter	s__	1	3
OTU_972	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__	1	3
OTU_974	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_977	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	1	3		
OTU_134	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_135	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_1617	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__	s__	1	3
OTU_1616	k__Bacteria	p__others	c__Chloroflexi	o__Herpetosiphonales	f__	g__	s__	1	1
OTU_130	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__	0.67	3
OTU_131	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__	0.67	3
OTU_132	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__	1	3
OTU_133	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	0.67	3
OTU_1103	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_1107	k__Bacteria	p__others	c__vadinHA49	o__p04_C01	f__	g__	s__	1	3
OTU_190	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_1045	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_1042	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__	s__	1	3
OTU_1824	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3	o__	f__	g__	s__	1	3
OTU_1822	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__HTCC2188	f__HTCC2089	g__	s__	1	3
OTU_1829	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	g__Frankia	s__	0.67	3
OTU_818	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	2
OTU_1914	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__	f__	g__	s__	1	3
OTU_1918	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_2023	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	s__	1	3
OTU_2118	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_768	k__Bacteria	p__Acidobacteria	c__PAUC37f	o__	f__	g__	s__	1	3
OTU_764	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__	f__	g__	s__	1	3
OTU_766	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	1	3		
OTU_761	Unassigned	p__others	1	1	1	1	1	1	1
OTU_569	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_568	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	0.67	3		
OTU_567	k__Bacteria	p__others	c__Chloroflexi	o__AKIW781	f__	g__	s__	1	3
OTU_566	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Chitinimonas	0.67	3	
OTU_564	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Entotheonellales	f__Entotheonellaceae	g__	s__	1	3
OTU_563	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	0.67	3
OTU_562	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_560	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__	g__	s__	1	3
OTU_163	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__	1	3
OTU_95	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	1	3			
OTU_96	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__wittichii	0.67	3
OTU_160	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	0.67	3
OTU_167	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Ellin5301	g__	s__	1	3
OTU_166	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Segetibacter	s__	1	3
OTU_165	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__	1	3
OTU_164	k__Bacteria	p__others	c__Chloroflexi	o__AKIW781	f__	g__	s__	1	3
OTU_169	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	0.67	3
