OTU_984	OTU_1217	OTU_1795	OTU_337	OTU_1	OTU_8
tub2.RS.4P.ITS1o.Y1	0.00185620591510952	0.00185620591510952	0.00816730602648187	0.00136121767108031	0.108031184259374	0.00197995297611682
tub2.Soil.N3.ITS1o.Y1	0.00142738194361841	0.00154633043891995	0.00773165219459974	0.00190317592482455	0.145117164267872	0.0038063518496491
tub2.Soil.1S.ITS1o.Y1	0.00226689955033632	0.00252703556430934	0.0103311159834999	0.00126351778215467	0.155524174068156	0.00219257497491546
tub2.RS.2P.ITS1o.Y1	0.00133904659882164	0.00187466523835029	0.00723085163363685	0.00120514193893948	0.117166577396893	0.00254418853776111
tub3.Root.2P.ITS1o.Y1	0.000817661488143908	0.00224856909239575	0.0120605069501226	0.000817661488143908	0.149223221586263	0.00572363041700736
tub3.Root.1P.ITS1o.Y1	0.00227085053674649	0.00392237819983485	0.00846407927332783	0.0018579686209744	0.124483897605285	0.00309661436829067
tub2.Soil.3P.ITS1o.Y1	0.00235294117647059	0.00302521008403361	0.0110924369747899	0.00134453781512605	0.136806722689076	0.00291316526610644
tub2.RP.N3.ITS1o.Y1	0	0	0	0	0.00757814966845595	0.000315756236185665
tub2.RS.2S.ITS1o.Y1	0.00251889168765743	0.00215905001799208	0.0125944584382872	0.000899604174163368	0.159229938826916	0.00305865419215545
tub2.Soil.2P.ITS1o.Y1	0.00460866110448947	0.00564163686928884	0.0177989670242352	0.0022248708780294	0.256019070321812	0.00548271752085816
tub3.RS.1P.ITS1o.Y1	0.00177085177970604	0.00283336284752966	0.00867717372055959	0.00212502213564725	0.130865946520276	0.00177085177970604
tub3.RP.N2.ITS1o.Y1	0	0	0	0	0.0103480714957667	0.436265286923801
tub2.RP.1P.ITS1o.Y1	0	0	0	0	0.0687397708674304	0
tub2.Root.N3.ITS1o.Y1	0.00208536076741276	0.00347560127902127	0.0115389962463506	0.00194633671625191	0.192409286806618	0.00333657722786042
tub2.RS.3S.ITS1o.Y1	0.00466910272025985	0.00426309378806334	0.0146163215590743	0.00284206252537556	0.23020706455542	0.00588712951684937
tub3.Root.4P.ITS1o.Y1	0.00178094390026714	0.00237459186702286	0.0121697833184921	0.00118729593351143	0.154051647373108	0.00504600771742357
tub2.RS.1S.ITS1o.Y1	0.00194552529182879	0.00194552529182879	0.0124214307093685	0.00134690212511224	0.133792277761149	0.00134690212511224
tub3.RP.N3.ITS1o.Y1	0.00252684775742262	0.00268477574226153	0.00773847125710676	0.000631711939355654	0.139766266582438	0.025584333543904
tub2.Soil.4S.ITS1o.Y1	0.00294672324375295	0.0033003300330033	0.0101367279585101	0.00141442715700141	0.163366336633663	0.00436115040075436
